Model,Ann. Return,Ann. Vol,Sharpe Ratio,Max Drawdown,Calmar Ratio,Hit Rate vs EW,Win %,N Months
Ensemble,13.23%,12.31%,1.075,-15.19%,0.871,57.58%,66.67%,33
EqualWeight,4.14%,17.46%,0.237,-22.71%,0.182,0.00%,51.52%,33
GradientBoosting,10.66%,14.81%,0.720,-17.89%,0.596,60.61%,60.61%,33
LASSO,11.11%,11.94%,0.931,-12.58%,0.883,60.61%,63.64%,33
MLP,14.14%,12.54%,1.128,-13.29%,1.064,63.64%,63.64%,33
RandomForest,11.69%,14.12%,0.828,-16.36%,0.714,60.61%,60.61%,33
Ridge,15.74%,12.05%,1.306,-13.11%,1.200,72.73%,63.64%,33
SentimentOnly,14.48%,12.48%,1.160,-9.51%,1.524,69.70%,60.61%,33
